city,country,id,lat,long,temp,max_temp,humidity,cloud_coverage,wind_speed
Ishigaki,JP,1861416,24.34,124.16,86.0,86.0,84,40,8.05
Mount Gambier,AU,2156643,-37.83,140.77,55.4,55.4,82,29,9.17
Ushuaia,AR,3833367,-54.8,-68.3,33.8,33.8,86,20,26.4
Vaini,TO,4032243,-21.2,-175.2,71.6,71.6,83,75,14.99
Punta Arenas,CL,3874787,-53.15,-70.92,33.39,33.8,55,47,5.82
Kuzhener,RU,537939,56.81,48.91,58.62,58.62,87,7,2.3
Raja,SS,368246,8.46,25.68,68.47,68.47,95,100,5.23
Gizo Government Station,SB,2108857,-8.1,156.84,83.91,83.91,73,9,4.72
Rikitea,PF,4030556,-23.12,-134.97,72.48,72.48,82,92,13.44
Shulan,CN,2034761,44.42,126.95,82.26,82.26,54,94,7.34
Pevek,RU,2122090,69.7,170.31,35.31,35.31,86,0,10.67
Cayenne,GF,3382160,4.93,-52.33,75.2,75.2,100,82,7.02
George Town,MY,1735106,5.41,100.34,83.37,86.0,66,20,11.41
Oistins,BB,3373652,13.07,-59.53,82.4,82.4,78,20,13.87
Mar del Plata,AR,3430863,-38.0,-57.56,41.34,42.01,86,75,9.17
Ziniaré,BF,2353257,12.58,-1.3,73.4,73.4,100,20,4.7
Itarema,BR,3393692,-2.92,-39.92,76.93,76.93,81,0,12.62
Los Llanos de Aridane,ES,2514651,28.66,-17.92,69.48,73.4,73,90,13.87
Grand Gaube,MU,934479,-20.01,57.66,66.99,66.99,82,38,3.0
Kinshasa,CD,2314302,-4.32,15.32,69.8,69.8,83,20,4.61
Bathsheba,BB,3374083,13.22,-59.52,82.4,82.4,78,20,14.99
Moussoro,TD,2427336,13.64,16.49,84.81,84.81,55,42,8.86
Sukpak,RU,1490676,51.67,94.63,64.62,64.62,55,100,2.42
Virginia Beach,US,4791259,36.85,-75.98,84.06,86.0,70,20,3.36
Raudeberg,NO,3146487,61.99,5.14,60.19,62.01,77,100,14.99
Ponta do Sol,PT,2264557,32.67,-17.1,65.07,71.6,64,20,14.99
Todos Santos,MX,3981432,23.45,-110.22,73.49,73.99,92,39,3.0
Port Alfred,ZA,964432,-33.59,26.89,54.77,54.77,68,0,7.43
George Town,MY,1735106,5.41,100.34,80.98,84.2,94,20,5.82
New Norfolk,AU,2155415,-42.78,147.06,48.54,52.0,90,65,2.62
Kapaa,US,5848280,22.08,-159.32,81.03,82.4,69,40,21.92
Alofi,NU,4036284,-19.06,-169.92,77.0,77.0,65,40,17.22
Victor Harbor,AU,2059470,-35.57,138.62,54.0,54.0,72,100,1.88
Muisne,EC,3653967,0.6,-80.03,73.49,73.49,88,100,7.63
Lüderitz,NA,3355672,-26.65,15.16,53.6,53.6,93,0,2.24
Malindi,KE,187968,-3.22,40.12,76.1,76.1,80,6,18.16
Vao,NC,2137773,-22.67,167.48,71.38,71.38,81,90,21.92
Port Lincoln,AU,2063036,-34.73,135.87,55.08,55.08,59,90,8.61
San Patricio,MX,3985168,19.22,-104.7,84.2,84.2,79,75,0.69
Khartoum,SD,379252,15.55,32.53,75.63,75.99,88,20,12.75
Mumbai,IN,1275339,19.01,72.85,82.33,87.01,100,75,8.05
Barrow,US,5880054,71.29,-156.79,39.2,39.2,80,90,24.16
Puerto Maldonado,PE,3931470,-12.6,-69.18,72.59,72.59,76,13,0.16
Saint Paul Harbor,US,5866583,57.79,-152.41,60.8,60.8,72,1,5.82
Svetlaya,RU,2015852,46.54,138.33,65.64,65.64,88,97,5.88
Tuktoyaktuk,CA,6170031,69.45,-133.04,64.4,64.4,72,75,13.87
Atuona,PF,4020109,-9.8,-139.03,79.83,79.83,71,0,25.97
Qaanaaq,GL,3831208,77.48,-69.36,41.5,41.5,67,0,1.57
Usinsk,RU,863061,65.99,57.53,54.79,54.79,70,60,12.86
Ulladulla,AU,2145554,-35.35,150.47,56.66,59.0,93,75,17.22
Saskylakh,RU,2017155,71.92,114.08,54.82,54.82,59,51,10.87
Morondava,MG,1058381,-20.28,44.28,62.96,62.96,58,14,7.58
Cherskiy,RU,2126199,68.75,161.3,49.78,49.78,48,35,10.83
Busselton,AU,2075265,-33.65,115.33,58.51,61.0,98,98,9.44
Qasigiannguit,GL,3420768,68.82,-51.19,42.8,42.8,81,100,1.12
São João da Barra,BR,3448903,-21.64,-41.05,71.78,71.78,82,0,14.88
Kosh-Agach,RU,1502422,50.0,88.67,53.6,53.6,67,98,2.84
Hobart,AU,2163355,-42.88,147.33,51.91,53.01,81,40,8.05
Khrebtovaya,RU,2022232,56.7,104.25,61.52,61.52,86,100,5.5
Ust-Kuyga,RU,2013921,70.02,135.6,50.99,50.99,60,99,7.07
Dikson,RU,1507390,73.51,80.55,40.98,40.98,80,61,13.22
Lagoa,PT,3372964,39.05,-27.98,72.99,72.99,88,0,5.68
Cabo San Lucas,MX,3985710,22.89,-109.91,82.35,86.0,69,40,11.41
Bluff,NZ,2206939,-46.6,168.33,48.0,48.0,82,100,1.01
Hamilton,US,4513583,39.18,-84.53,71.76,73.0,94,1,4.7
Port Elizabeth,ZA,964420,-33.92,25.57,44.6,44.6,87,0,4.7
Thompson,CA,6165406,55.74,-97.86,60.8,60.8,72,75,8.05
Kavieng,PG,2094342,-2.57,150.8,84.02,84.02,75,53,10.49
Fortuna,US,5563839,40.6,-124.16,59.0,61.0,79,91,1.99
Zhezkazgan,KZ,1516589,47.8,67.71,60.8,60.8,77,75,15.66
Quimper,FR,2984701,48.0,-4.1,53.6,53.6,93,20,4.7
Rockport,US,4723422,28.02,-97.05,82.87,82.99,83,20,10.29
Ahipara,NZ,2194098,-35.17,173.17,60.69,60.69,65,61,11.01
Buchanan,LR,2278158,5.88,-10.05,75.2,75.2,94,75,7.94
Lucapa,AO,145724,-8.42,20.74,60.76,60.76,46,0,4.36
Ust-Tsilma,RU,477940,65.44,52.15,58.46,58.46,65,33,3.02
Saint-Philippe,RE,935215,-21.36,55.77,60.78,68.0,82,90,6.93
Ndendé,GA,2397614,-2.4,11.36,70.34,70.34,79,58,2.62
Hay River,CA,5972762,60.82,-115.8,68.0,68.0,72,75,5.82
Plettenberg Bay,ZA,964712,-34.05,23.37,57.38,57.38,46,0,3.62
Alta Floresta,BR,6316343,-9.88,-56.09,72.32,72.32,42,0,3.67
Provideniya,RU,4031574,64.38,-173.3,51.8,51.8,87,75,8.95
Samarai,PG,2132606,-10.62,150.67,80.29,80.29,86,100,9.93
Tecolutla,MX,3516148,20.48,-97.02,83.28,83.28,79,100,9.6
Bjerkvik,NO,3161456,68.56,17.52,55.18,57.0,100,11,8.05
Hualmay,PE,3939761,-11.1,-77.61,59.09,59.09,84,76,9.1
Hermanus,ZA,3366880,-34.42,19.23,43.0,43.0,94,0,1.99
Acobamba,PE,3927758,-11.35,-75.66,50.7,50.7,67,80,1.74
Safford,US,5312476,32.83,-109.71,93.2,93.2,30,1,2.71
Severo-Kuril'sk,RU,2121385,50.68,156.12,55.44,55.44,82,61,17.49
Lavrentiya,RU,4031637,65.58,-171.0,48.11,48.11,80,92,14.12
Safaga,EG,358620,26.73,33.94,87.8,87.8,45,0,13.87
Kishapu,TZ,156963,-3.62,33.87,61.25,61.25,72,5,9.15
Tiksi,RU,2015306,71.69,128.87,39.45,39.45,86,100,16.4
Vogar,IS,3415496,63.98,-22.39,48.2,48.2,81,75,8.05
Kaputa,ZM,176758,-8.47,29.66,64.58,64.58,65,0,4.61
Ambon City,ID,1651531,-3.7,128.18,81.41,82.0,83,75,5.82
Airai,TL,1651810,-8.93,125.41,68.29,68.29,55,96,4.47
Esperance,AU,2071860,-33.87,121.9,55.4,55.4,100,39,10.29
Upernavik,GL,3418910,72.79,-56.15,44.46,44.46,86,93,5.5
Broome,US,5110365,42.25,-75.83,74.01,79.0,83,1,4.7
Spirovo,RU,489686,57.42,34.98,57.6,57.6,97,0,1.99
Ilo,PE,3938415,-17.64,-71.34,58.28,58.28,78,85,3.65
Petropavlovsk-Kamchatskiy,RU,2122104,53.05,158.65,77.0,77.0,57,44,11.18
Shelburne,CA,6145890,44.08,-80.2,70.2,71.6,83,75,2.24
Mount Isa,AU,2065594,-20.73,139.5,69.8,69.8,22,0,16.11
Nome,US,5870133,64.5,-165.41,51.01,51.8,87,90,13.87
Ostrovnoy,RU,556268,68.05,39.51,59.02,59.02,81,12,0.96
Kudahuvadhoo,MV,1337607,2.67,72.89,82.53,82.53,76,88,12.01
Marsh Harbour,BS,3571913,26.54,-77.06,82.38,82.38,77,44,7.83
Khandyga,RU,2022773,62.67,135.6,62.89,62.89,94,100,1.57
Laguna,US,5364271,38.42,-121.42,90.16,93.2,29,1,11.41
Cidreira,BR,3466165,-30.18,-50.21,59.22,59.22,97,95,9.15
Mahon,ES,2514301,39.89,4.27,75.2,75.2,88,0,3.36
Barcelos,PT,2742416,41.54,-8.62,64.53,66.99,100,75,2.24
Oyama,JP,1853483,36.3,139.8,83.34,86.0,88,75,1.12
Quatre Cocos,MU,1106643,-20.21,57.76,65.75,66.99,93,75,4.7
Opuwo,NA,3354077,-18.06,13.84,52.47,52.47,44,0,6.31
Hasaki,JP,2112802,35.73,140.83,84.07,84.2,74,75,14.99
Sitka,US,5557293,57.05,-135.33,57.2,57.2,82,75,5.82
Ribeira Grande,PT,3372707,38.52,-28.7,73.2,73.2,89,6,4.59
Ca Mau,VN,1586443,9.18,105.15,86.2,86.2,71,3,5.97
Paamiut,GL,3421193,61.99,-49.67,46.6,46.6,84,100,2.93
Anloga,GH,2304548,5.79,0.9,77.0,77.0,83,40,11.41
Kerema,PG,2094144,-7.96,145.78,81.12,81.12,82,100,4.12
Bereda,ES,3105522,43.27,-7.54,63.63,64.99,100,99,1.48
Aljezur,PT,2271968,37.32,-8.8,68.52,69.01,83,2,11.39
Isangel,VU,2136825,-19.55,169.27,82.4,82.4,69,75,10.29
Norman Wells,CA,6089245,65.28,-126.83,69.8,69.8,49,75,17.22
Darhan,MN,2031964,49.49,105.92,70.29,70.29,56,0,4.05
Saint Anthony,US,5044290,45.02,-93.22,75.97,78.8,50,1,8.05
Pangnirtung,CA,6096551,66.15,-65.71,57.96,57.96,51,100,5.53
Geraldton,AU,2070998,-28.77,114.6,62.6,62.6,88,90,8.05
Fare,PF,4034496,-16.7,-151.02,79.47,79.47,79,87,15.39
Kahului,US,5847411,20.89,-156.47,81.5,89.6,46,1,28.86
Saint George,US,5546220,37.1,-113.58,99.84,100.99,11,1,17.22
Dali,CN,1814093,25.7,100.18,72.66,72.66,55,93,2.62
Okhotsk,RU,2122605,59.38,143.3,68.49,68.49,68,52,4.09
Pochutla,MX,3517970,15.74,-96.47,80.01,80.01,86,100,2.3
Mācherla,IN,1264647,16.48,79.43,84.27,84.27,70,100,10.67
Olafsvik,IS,3414079,64.89,-23.71,47.88,47.88,76,68,5.35
Oddur,SO,49747,4.12,43.89,74.01,74.01,74,96,23.02
Bud,US,4255151,39.45,-86.18,73.0,73.0,99,100,7.7
Anadyr,RU,2127202,64.75,177.48,64.18,64.4,72,40,13.42
Chokurdakh,RU,2126123,70.63,147.92,48.79,48.79,57,100,3.76
Tha Mai,TH,1605601,12.62,102.0,87.26,90.0,89,40,4.54
Sabang,ID,1214026,5.89,95.32,81.93,81.93,77,100,20.78
Kruisfontein,ZA,986717,-34.0,24.73,49.8,49.8,59,0,6.98
Doha,QA,290030,25.29,51.53,93.13,93.2,75,75,10.29
San Policarpo,PH,1688696,12.18,125.51,82.33,82.33,76,100,7.16
Aitape,PG,2101169,-3.14,142.35,86.22,86.22,60,1,5.03
Mahon,ES,2514301,39.89,4.27,75.2,75.2,88,0,3.36
Cockburn Town,TC,3576994,21.46,-71.14,82.36,82.36,75,2,18.37
Santa Cruz de Barahona,DO,3492985,18.21,-71.1,81.0,81.0,74,11,7.56
Pringsewu,ID,1630639,-5.36,104.97,81.79,81.79,61,58,1.07
Vila Franca do Campo,PT,3372472,37.72,-25.43,71.6,71.6,94,20,1.72
Sittwe,MM,1295765,20.15,92.9,83.14,83.14,80,98,4.7
Polyarny,RU,506763,69.2,33.45,53.6,53.6,100,0,2.24
Punta Cardon,VE,3629614,11.66,-70.22,80.8,80.8,82,0,21.54
Terråk,NO,3134658,65.09,12.37,57.11,57.2,76,17,5.82
Sergeevka,KZ,1519385,53.88,67.42,59.05,59.05,80,42,5.37
Katsuura,JP,2112309,35.13,140.3,81.39,84.0,94,75,25.28
Pacific Grove,US,5380437,36.62,-121.92,61.12,64.4,72,40,9.17
Chicama,PE,3698359,-7.84,-79.15,60.01,60.01,84,17,5.1
Riberalta,BO,3906466,-10.98,-66.1,75.24,75.24,58,0,0.87
Salalah,OM,286621,17.02,54.09,78.8,78.8,94,40,4.7
Villa Carlos Paz,AR,3832791,-31.42,-64.5,42.84,46.99,51,0,6.93
Yerbogachën,RU,2012956,61.28,108.01,54.34,54.34,92,100,10.69
Rodolfo Sánchez Taboada,MX,3996737,31.72,-116.57,69.01,69.01,85,24,4.0
Port Hardy,CA,6111862,50.7,-127.42,66.2,66.2,72,40,16.11
De Aar,ZA,1011632,-30.65,24.01,42.75,42.75,61,0,6.06
Jiayuguan City,CN,1280957,39.82,98.3,82.65,82.65,15,0,9.26
Dom Pedro,BR,3400969,-4.48,-44.45,72.61,72.61,62,41,1.97
Grande Prairie,CA,5964347,55.17,-118.8,86.0,86.0,40,40,6.93
Longyearbyen,SJ,2729907,78.22,15.64,62.6,62.6,55,98,10.29
Garachiné,PA,3709361,8.06,-78.36,79.66,79.66,81,100,3.04
Castro,BR,3466704,-24.79,-50.01,58.21,58.21,76,93,3.13
Wattegama,LK,1224061,6.8,81.48,77.0,77.0,100,90,2.24
Santa Rita,BR,3389321,-7.11,-34.98,73.4,73.4,94,75,4.7
Boda,CF,2388614,4.32,17.47,67.55,67.55,95,97,2.64
Ulaanbaatar,MN,2028462,47.91,106.88,66.2,66.2,59,40,8.95
Erzin,TR,296852,36.96,36.2,80.01,80.01,86,45,0.22
Margate,GB,2643044,51.38,1.39,62.01,62.01,76,47,1.99
Ocós,GT,3592086,14.51,-92.19,77.0,77.0,100,75,6.93
Clyde River,CA,5924351,70.47,-68.59,41.0,41.0,100,90,14.99
Manzanillo,CU,3547867,20.34,-77.12,79.83,79.83,82,51,10.56
Lebu,CL,3883457,-37.62,-73.65,44.62,44.62,78,0,11.95
Nago,JP,1856068,26.59,127.98,87.53,87.8,74,75,17.22
Guérande,FR,3014392,47.33,-2.43,61.75,62.6,77,90,11.41
Toamasina,MG,1053384,-18.17,49.38,67.87,67.87,85,90,5.17
Avarua,CK,4035715,-21.21,-159.78,73.4,73.4,73,2,9.17
Kavaratti,IN,1267390,10.57,72.64,82.0,82.0,81,100,14.83
Chui,UY,3443061,-33.7,-53.46,47.35,47.35,74,100,8.25
Talnakh,RU,1490256,69.49,88.4,59.0,59.0,44,0,11.18
East London,ZA,1006984,-33.02,27.91,55.13,55.13,67,0,6.64
Hithadhoo,MV,1282256,-0.6,73.08,82.42,82.42,79,100,13.04
Naze,JP,1855540,28.37,129.48,89.6,89.6,75,75,12.75
Tuzha,RU,480085,57.61,47.94,59.14,59.14,88,98,1.59
Saint-Pierre,RE,935214,-21.34,55.48,61.63,68.0,82,89,5.82
Beringovskiy,RU,2126710,63.05,179.32,65.59,65.59,59,0,2.95
Nikolskoye,RU,546105,59.7,30.79,58.08,59.0,82,37,4.47
Cape Coast,GH,2302357,5.11,-1.25,74.3,74.3,87,100,13.4
Yārāda,IN,1252783,17.65,83.27,84.2,84.2,83,40,2.24
Linxia Chengguanzhen,CN,1803331,35.6,103.21,73.2,73.2,46,0,0.51
Kapustin Yar,RU,552999,48.58,45.74,69.01,69.01,37,78,7.63
Umluj,SA,100926,25.02,37.27,84.38,84.38,79,49,4.05
Sainte-Marie,RE,935255,-20.9,55.55,62.22,69.8,68,96,5.82
Aquiraz,BR,3407407,-3.9,-38.39,78.8,78.8,74,0,14.99
Mayo,US,4362001,38.89,-76.51,82.71,86.0,62,1,10.54
Dillon,US,4576653,34.42,-79.37,81.77,82.99,78,40,5.82
Ol'ga,RU,2018553,43.74,135.29,73.26,73.26,68,66,5.14
Timizart,DZ,2476396,36.8,4.27,81.23,81.23,26,0,5.44
Basi,IN,1276767,26.83,76.03,86.0,86.0,66,40,2.24
Fuerte Olimpo,PY,3438102,-21.04,-57.87,72.01,72.01,47,0,4.47
Kaeo,NZ,2189343,-35.1,173.78,60.01,60.01,3,58,11.99
Itoman,JP,1861280,26.12,127.67,88.27,89.6,70,40,14.99
Nālūt,LY,2214432,30.33,10.85,73.47,73.47,38,0,11.83
Xai-Xai,MZ,1024552,-25.05,33.64,62.1,62.1,75,48,5.97
West Wendover,US,5710035,40.74,-114.07,87.8,87.8,20,1,24.16
Bredasdorp,ZA,1015776,-34.53,20.04,39.2,39.2,93,0,1.12
Codajás,BR,3664525,-3.84,-62.06,77.77,77.77,71,40,0.49
Sawākin,SD,367544,19.11,37.33,85.03,85.03,66,99,7.09
Bang Krathum,TH,1619437,16.58,100.3,86.11,88.0,79,20,2.24
Sept-Îles,CA,6144312,50.2,-66.38,62.01,63.0,100,75,2.24
Rybnik,PL,3086586,50.1,18.54,62.87,64.0,96,98,4.0
Padang,ID,1633419,-0.95,100.35,77.0,77.0,94,40,2.24
Orlândia,BR,3455785,-20.72,-47.89,69.8,69.8,60,7,4.7
Klaksvík,FO,2618795,62.23,-6.59,46.4,46.4,93,97,14.99
Dzhebariki-Khaya,RU,2024626,62.22,135.8,70.41,70.41,66,100,4.74
Avera,US,4231997,33.19,-82.53,78.71,84.2,66,1,3.36
Brigham City,US,5771960,41.51,-112.02,81.64,87.8,19,75,40.26
Huilong,CN,1806840,31.81,121.66,93.0,93.0,71,100,4.0
El Tigre,VE,3641351,8.89,-64.25,76.08,76.08,85,100,5.1
Renqiu,CN,1797181,38.7,116.09,86.32,86.32,51,2,4.12
Araçatuba,BR,3471859,-21.21,-50.43,71.2,71.2,49,22,6.73
Pedernales,DO,3495137,18.04,-71.74,81.48,81.48,73,7,3.4
Coahuayana Viejo,MX,4013679,18.73,-103.68,75.2,75.2,83,40,11.41
Haines Junction,CA,5969025,60.75,-137.51,57.15,57.15,56,100,3.6
Novorzhev,RU,518236,57.03,29.33,61.61,61.61,83,100,2.82
Ketchikan,US,5554428,55.34,-131.65,61.88,62.6,63,75,11.41
Bandarbeyla,SO,64814,9.49,50.81,79.25,79.25,71,0,20.92
Watsa,CD,204283,3.04,29.54,62.17,62.17,100,95,2.21
Morant Bay,JM,3489440,17.88,-76.41,82.67,82.99,74,20,6.93
Priupskiy,RU,505129,53.91,37.74,61.14,61.14,86,81,5.26
Bussigny,CH,2661305,46.55,6.56,73.38,78.8,50,0,8.05
Bethel,US,5282297,41.37,-73.41,80.82,84.2,58,1,6.93
Biltine,TD,244878,14.53,20.92,82.2,82.2,57,100,11.01
Vershino-Shakhtaminskiy,RU,2013441,51.3,117.89,74.5,74.5,54,97,13.44
Egvekinot,RU,4031742,66.32,-179.17,50.58,50.58,70,100,5.53
Sinnamary,GF,3380290,5.38,-52.95,78.57,78.57,82,96,3.22
At-Bashi,KG,1528796,41.17,75.81,59.74,59.74,45,4,1.16
Ilulissat,GL,3423146,69.22,-51.1,42.8,42.8,81,98,1.12
Atar,MR,2381334,20.52,-13.05,91.4,91.4,38,28,11.25
Comodoro Rivadavia,AR,3860443,-45.87,-67.5,39.2,39.2,64,0,10.29
Cap Malheureux,MU,934649,-19.98,57.61,66.99,66.99,82,32,4.0
Hofn,IS,2630299,64.25,-15.21,51.75,51.75,70,100,6.53
Abu Kamal,SY,174448,34.45,40.92,93.07,93.07,12,0,6.98
Tura,IN,1254046,25.52,90.22,77.29,77.29,92,100,4.38
Ginda,IN,1253628,30.69,78.49,78.8,78.8,100,90,4.7
Touros,BR,3386213,-5.2,-35.46,71.6,71.6,94,75,4.7
Río Gallegos,AR,3838859,-51.62,-69.22,28.4,28.4,86,13,8.05
Westport,US,4845585,41.14,-73.36,83.1,86.0,74,1,5.82
Korla,CN,1529376,41.76,86.15,79.45,79.45,25,0,15.39
Iqaluit,CA,5983720,63.75,-68.51,58.14,59.0,82,75,3.47
Narón,ES,3115739,43.52,-8.15,63.99,66.2,93,90,4.7
Peace River,CA,6100069,56.25,-117.29,82.4,82.4,48,40,6.93
Mahébourg,MU,934322,-20.41,57.7,64.4,64.4,93,75,4.7
Tynda,RU,2014718,55.17,124.72,79.05,79.05,62,54,3.71
Burkburnett,US,4677526,34.1,-98.57,77.9,84.2,94,90,23.04
Roebourne,AU,2062276,-20.78,117.13,73.2,73.2,24,6,16.08
College,US,5859699,64.86,-147.8,55.92,59.0,77,90,5.82
Slave Lake,CA,6149374,55.28,-114.77,84.2,84.2,35,1,13.87
Brodokalmak,RU,1508802,55.57,62.08,57.2,57.2,93,16,8.95
Ţaga,RO,665628,46.95,24.05,60.91,61.0,100,20,1.12
Yeppoon,AU,2142316,-23.13,150.73,71.6,71.6,26,0,9.17
Castaños,MX,4015022,26.78,-101.42,71.62,71.62,82,99,5.46
Sirte,LY,2210554,31.21,16.59,74.71,74.71,79,0,5.28
Rio Grande,BR,3451138,-32.03,-52.1,52.0,52.0,96,100,6.71
Kasama,ZM,912764,-10.21,31.18,48.42,48.42,96,0,3.13
Basco,PH,1726449,20.45,121.97,84.9,84.9,74,100,6.17
Sakakah,SA,102527,29.97,40.21,91.4,91.4,16,8,8.05
Northam,GB,2641434,51.03,-4.22,58.68,60.01,88,10,15.99
Fairbanks,US,5861897,64.84,-147.72,56.16,59.0,82,90,8.05
City of San Pedro,PH,1688781,14.35,121.02,83.53,84.99,83,100,1.07
Sioux Lookout,CA,6148373,50.1,-91.92,64.4,64.4,82,75,8.05
Montepuez,MZ,1037125,-13.13,39.0,61.7,61.7,91,0,8.21
Banjar,ID,1650232,-8.19,114.97,80.6,80.6,74,40,18.34
Sorong,ID,1626542,-0.88,131.25,83.19,83.19,75,84,9.48
Katangli,RU,2122783,51.71,143.23,67.42,67.42,66,22,9.15
Palmer,US,4946620,42.16,-72.33,80.1,84.2,54,75,5.82
Berlevåg,NO,780687,70.86,29.09,59.88,59.88,70,0,8.5
Eureka,US,5563397,40.8,-124.16,58.42,61.0,19,89,1.01
Lompoc,US,5367788,34.64,-120.46,62.96,64.4,72,0,14.99
Māngrol,IN,1263752,21.12,70.12,83.8,83.8,80,11,11.48
Boguchany,RU,1509844,58.38,97.45,66.51,66.51,66,0,3.83
Bengkulu,ID,1649150,-3.8,102.27,80.56,80.56,67,100,5.57
Vila,PT,7117100,42.03,-8.16,65.37,66.2,93,90,3.36
Sabancuy,MX,3520161,18.97,-91.18,81.79,81.79,87,100,3.38
Shache,CN,1280037,38.42,77.24,81.01,81.01,17,0,11.3
Muros,ES,3115824,42.78,-9.06,65.34,66.99,88,75,6.93
Buckeye,US,5287262,33.37,-112.58,105.87,107.6,18,1,4.7
Dwārka,IN,1272140,22.24,68.97,84.76,84.76,78,18,15.9
Jalu,LY,86049,29.03,21.55,75.65,75.65,52,0,9.6
Pahrump,US,5509851,36.21,-115.98,100.0,100.0,10,0,5.01
Torbay,CA,6167817,47.67,-52.73,57.4,57.99,100,90,6.93
Burgeo,CA,5911440,47.62,-57.62,60.53,60.53,88,29,2.91
Farah,AF,1142263,32.5,62.5,77.02,77.02,20,0,6.24
Zhigansk,RU,2012530,66.77,123.37,53.85,53.85,67,36,15.55
Carnarvon,AU,2074865,-24.87,113.63,66.2,66.2,68,0,13.87
Brae,GB,2654970,60.4,-1.35,55.4,55.4,100,100,12.75
Nara,JP,1855612,34.69,135.8,89.64,93.0,62,75,12.75
Champerico,GT,3598787,14.3,-91.92,82.15,82.15,73,100,3.87
Islamabad,PK,1162015,33.71,73.13,84.09,84.2,54,20,6.93
Faya,SA,110690,18.39,42.45,63.48,64.4,88,75,4.7
Zhangaözen,KZ,607610,43.3,52.8,74.08,74.08,25,0,16.08
Baft,IR,390054,29.23,56.61,68.92,68.92,24,1,2.06
Pemba,MZ,1028918,-12.97,40.52,69.4,69.8,94,40,17.22
Alappuzha,IN,1278985,9.49,76.33,75.0,75.0,88,100,5.01
Meulaboh,ID,1214488,4.14,96.13,74.91,74.91,94,100,2.19
Cap-aux-Meules,CA,5915327,47.38,-61.86,64.4,64.4,93,40,6.93
Xinyu,CN,1788508,27.8,114.93,87.55,87.55,75,38,1.9
San Quintín,MX,3984997,30.48,-115.95,68.47,68.47,79,0,16.24
Kayerkan,RU,1497337,69.35,87.76,59.0,59.0,44,7,11.18
Morwa,IN,1262734,22.9,73.83,82.18,82.18,81,54,10.09
São Filipe,CV,3374210,14.9,-24.5,75.85,75.85,77,100,7.36
Tiarei,PF,4033356,-17.53,-149.33,82.4,82.4,69,20,13.87
Shimoda,JP,1852357,34.67,138.95,78.78,80.6,94,75,18.34
Narsaq,GL,3421719,60.92,-46.05,46.4,46.4,93,100,4.7
Urengoy,RU,1488414,65.97,78.37,57.31,57.31,51,9,14.72
Santa Maria,BR,3450083,-29.68,-53.81,59.0,59.0,93,75,3.36
Wick,GB,2633982,58.43,-3.08,51.8,51.8,93,100,23.04
Newport,GB,2641598,51.59,-3.0,55.35,60.01,89,0,1.01
Bouillante,GP,3579642,16.13,-61.77,80.6,80.6,83,75,4.7
Ancud,CL,3899695,-41.87,-73.82,38.01,41.0,100,40,1.12
Khairpur Nathan Shah,PK,1174344,27.09,67.73,94.39,94.39,52,1,12.03
Methóni,GR,257122,36.82,21.7,74.61,79.0,68,0,5.82
